"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D6";"DIOM7959X262N";1;"SMLJ13A";;;
2;"C6";"C_0805_2012Metric";1;"15.0uF";;;
3;"D8,D7,D2";"LEDC1608X70N";3;"GLED";;;
4;"D3";"LEDC1608X70N";1;"RLED";;;
5;"R16,R15";"R_0603_1608Metric";2;"56kR";;;
6;"J4";"USB4125GFA";1;"USB4125-GF-A";;;
7;"J3,J2";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";2;"JST_XH_S2B-XH-A-1";;;
8;"Q1";"SOT95P240X110-3N";1;"BSS84PH6327XTSA2";;;
9;"U2";"SOT95P280X145-6N";1;"TPS2553DDBVR";;;
10;"R6";"R_0603_1608Metric";1;"1.3R";;;
11;"R8,R11";"R_0603_1608Metric";2;"510R";;;
12;"R10,R7";"R_0603_1608Metric";2;"910R";;;
13;"C9,C7";"C_0603_1608Metric";2;"4.7uF";;;
14;"R12,R13";"R_0603_1608Metric";2;"10kR";;;
15;"SW2,SW1";"OS102011MA1QN1";2;"OS102011MS2QN1";;;
16;"C1,C14,C13";"C_0603_1608Metric";3;"0.1uF";;;
17;"L2";"IND_VLS6045EX-4R7M_TDK";1;"4.7uH";;;
18;"L1";"IND_PCC-M0645M_PAN-L";1;"3.3uH";;;
19;"U1";"RPA0010A-MFG";1;"TPS56A37RPAR";;;
20;"C5";"C_0603_1608Metric";1;"1.0uF";;;
21;"C10,C4";"C_0603_1608Metric";2;"22.0uF";;;
22;"C8,C11";"16SVF270M";2;"39.0uF";;;
23;"D1,D5,D4";"PMEG3050EP115";3;"PMEG3050EP,115";;;
24;"J1";"TB00250002BE";1;"TB002-500-02BE";;;
25;"C12";"CAPAE660X610N";1;"120uF";;;
26;"R4";"R_0603_1608Metric";1;"10.0kR";;;
27;"TP1,TP4,TP2";"TestPoint_Pad_D1.5mm";3;"TestPoint";;;
28;"R5";"R_0603_1608Metric";1;"4.3kR";;;
29;"C3";"C_0603_1608Metric";1;"150.0pF";;;
30;"R14";"R_0603_1608Metric";1;"7.5kR";;;
31;"TP3";"TestPoint_Keystone_5005-5009_Compact";1;"TestPoint";;;
32;"R9";"R_0603_1608Metric";1;"100kR";;;
33;"U3";"SON50P200X200X80-9N";1;"TPS259541DSGR";;;
34;"R2";"R_0603_1608Metric";1;"24kR";;;
35;"R1";"R_0603_1608Metric";1;"52.3kR";;;
36;"R3";"R_0603_1608Metric";1;"73.2kR";;;
