Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",142.500000,-68.500000,0.000000,top
"C3","150.0pF","C_0603_1608Metric",133.100483,-68.836497,90.000000,top
"C4","22.0uF","C_0603_1608Metric",140.100000,-80.075000,-90.000000,top
"C5","1.0uF","C_0603_1608Metric",141.600000,-63.700000,90.000000,top
"C6","15.0uF","C_0805_2012Metric",139.800000,-63.500000,90.000000,top
"C7","4.7uF","C_0603_1608Metric",138.000000,-60.525000,90.000000,top
"C8","39.0uF","16SVF270M",113.500000,-60.275000,90.000000,top
"C9","4.7uF","C_0603_1608Metric",139.750000,-60.200000,90.000000,top
"C10","22.0uF","C_0603_1608Metric",141.700000,-80.075000,-90.000000,top
"C11","39.0uF","16SVF270M",124.500000,-60.275000,90.000000,top
"C12","120uF","CAPAE660X610N",89.800000,-72.850000,90.000000,top
"C13","0.1uF","C_0603_1608Metric",103.200000,-74.375000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",96.225000,-75.400000,180.000000,top
"D1","PMEG3050EP,115","PMEG3050EP115",81.600000,-76.300000,90.000000,top
"D2","GLED","LEDC1608X70N",107.100000,-86.850000,90.000000,top
"D3","RLED","LEDC1608X70N",104.100000,-86.955000,90.000000,top
"D4","PMEG3050EP,115","PMEG3050EP115",167.500000,-61.900000,90.000000,top
"D5","PMEG3050EP,115","PMEG3050EP115",167.500000,-78.500000,90.000000,top
"D6","SMLJ13A","DIOM7959X262N",81.600000,-67.000000,90.000000,top
"D7","GLED","LEDC1608X70N",155.750000,-55.750000,-90.000000,top
"D8","GLED","LEDC1608X70N",156.000000,-84.750000,90.000000,top
"J1","TB002-500-02BE","TB00250002BE",72.500000,-60.875000,-90.000000,top
"J2","JST_XH_S2B-XH-A-1","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",176.350000,-63.750000,90.000000,top
"J3","JST_XH_S2B-XH-A-1","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",176.450000,-79.750000,90.000000,top
"J4","USB4125-GF-A","USB4125GFA",72.702000,-78.500000,-90.000000,top
"L1","3.3uH","IND_PCC-M0645M_PAN-L",141.000000,-73.941600,-90.000000,top
"L2","4.7uH","IND_VLS6045EX-4R7M_TDK",133.500950,-61.127700,-90.000000,top
"Q1","BSS84PH6327XTSA2","SOT95P240X110-3N",100.100000,-76.100000,0.000000,top
"R1","52.3kR","R_0603_1608Metric",134.100000,-66.500000,0.000000,top
"R2","24kR","R_0603_1608Metric",96.500000,-72.400000,180.000000,top
"R3","73.2kR","R_0603_1608Metric",130.725000,-68.000000,180.000000,top
"R4","10.0kR","R_0603_1608Metric",134.800000,-68.825000,90.000000,top
"R5","4.3kR","R_0603_1608Metric",153.250000,-55.925000,90.000000,top
"R6","1.3R","R_0603_1608Metric",138.000000,-63.725000,90.000000,top
"R7","910R","R_0603_1608Metric",109.600000,-86.525000,-90.000000,top
"R8","510R","R_0603_1608Metric",101.600000,-86.525000,-90.000000,top
"R9","100kR","R_0603_1608Metric",96.175000,-77.050000,0.000000,top
"R10","910R","R_0603_1608Metric",153.500000,-84.925000,-90.000000,top
"R11","510R","R_0603_1608Metric",94.500000,-61.500000,90.000000,top
"R12","10kR","R_0603_1608Metric",96.300000,-61.500000,-90.000000,top
"R13","10kR","R_0603_1608Metric",88.700000,-61.475000,-90.000000,top
"R14","7.5kR","R_0603_1608Metric",87.000000,-61.500000,90.000000,top
"R15","56kR","R_0603_1608Metric",78.300000,-77.000000,-90.000000,top
"R16","56kR","R_0603_1608Metric",78.300000,-80.075000,90.000000,top
"SW1","OS102011MS2QN1","OS102011MA1QN1",90.500000,-86.500000,180.000000,top
"SW2","OS102011MS2QN1","OS102011MA1QN1",90.700000,-54.200000,180.000000,top
"TP3","TestPoint","TestPoint_Keystone_5005-5009_Compact",132.400000,-80.400000,0.000000,top
"U1","TPS56A37RPAR","RPA0010A-MFG",138.510002,-67.555401,0.000000,top
"U2","TPS2553DDBVR","SOT95P280X145-6N",100.250000,-72.400000,180.000000,top
"U3","TPS259541DSGR","SON50P200X200X80-9N",91.600000,-62.900000,0.000000,top
